mean,std,var,max,min,range,diff_mean,diff_std,skew,kurt,state
31.26,2.0082482975194567,4.033061224489796,35.0,26.0,9.0,0.04081632653061224,2.1942334784841817,-0.8137172796221865,0.4307212020953375,Normal
56.58,77.32230187563572,5978.738367346938,592.0,42.0,550.0,-11.142857142857142,74.8045071216587,7.05497076368067,49.842956219314075,Stress
44.64,1.7233095828571685,2.969795918367348,48.0,41.0,7.0,-0.02040816326530612,2.3516368239526475,-0.25963408489857026,-0.6924290735504286,Stress
44.76,1.6358234523771014,2.675918367346939,48.0,41.0,7.0,0.0,2.2038926600773587,-0.4997455091202515,-0.40385376545239327,Stress
45.54,1.2488361929151053,1.559591836734694,48.0,43.0,5.0,-0.04081632653061224,1.6654861847431155,-0.2911373275231131,-0.01897477183855445,Stress
45.66,1.3032142367771984,1.6983673469387754,48.0,42.0,6.0,-0.02040816326530612,1.545101488224302,-0.539309529416497,0.5678641051509397,Stress
45.24,1.6849877368899122,2.839183673469388,48.0,41.0,7.0,-0.061224489795918366,1.5038476266890235,-0.5281647467516557,-0.09118743433426602,Stress
45.34,1.8026058235515716,3.24938775510204,48.0,41.0,7.0,0.04081632653061224,2.0097637557730907,-0.5348577368108498,-0.27766343547526207,Stress
44.68,1.9840177747722536,3.936326530612245,48.0,41.0,7.0,-0.04081632653061224,2.1849128658988164,-0.25368629840879503,-0.8589326741676553,Stress
45.16,2.1886534859663493,4.790204081632653,48.0,41.0,7.0,0.02040816326530612,1.7669274140337439,-0.3464722834488902,-0.9637896961777375,Stress
46.18,1.698618886757409,2.8853061224489793,49.0,42.0,7.0,0.10204081632653061,2.042856123468114,-0.6317074064852191,-0.08851709281276943,Stress
46.96,1.9790742012055915,3.91673469387755,51.0,42.0,9.0,0.0,2.1570955529345,-0.7157000525462407,0.44068807861701087,Stress
47.46,1.3733617327490932,1.8861224489795918,51.0,43.0,8.0,-0.02040816326530612,1.4212641099167467,-0.4547134429996149,1.9516722220216867,Stress
46.32,1.331563451169262,1.7730612244897959,48.0,42.0,6.0,0.0,1.6781914463529615,-0.8918087973631621,1.2748756521820077,Stress
46.0,1.4846149779161804,2.204081632653061,48.0,42.0,6.0,-0.04081632653061224,1.8947745940302303,-0.7406210050368462,0.34000963138078966,Stress
45.36,2.2293039089292757,4.969795918367348,48.0,37.0,11.0,0.04081632653061224,2.2674194958908,-1.1077768615968377,2.313020185761988,Stress
44.92,2.1837993478881557,4.768979591836734,48.0,37.0,11.0,0.0,2.347382389307855,-0.7999447683196299,2.0444911510826156,Stress
45.2,1.52529689314733,2.326530612244898,48.0,41.0,7.0,-0.08163265306122448,1.9570566685284656,-0.06469836198426747,0.08531512151038356,Stress
45.1,1.5811388300841898,2.5000000000000004,48.0,42.0,6.0,0.02040816326530612,2.1332144559409403,-0.17102113876421102,-0.4159617889709075,Stress
44.38,2.664122936429204,7.097551020408164,48.0,37.0,11.0,0.10204081632653061,2.459839865031733,-0.9873466681066512,0.6681297593152777,Stress
52.28,77.12619925968673,5948.450612244901,586.0,37.0,549.0,-0.08163265306122448,108.11914001762487,7.040763281560221,49.70740471088499,Stress
48.96,77.55813093073728,6015.263673469386,586.0,34.0,552.0,-11.26530612244898,75.04876659721617,7.054434402512727,49.83782440494612,Stress
37.04,1.8290178026604824,3.3453061224489797,42.0,33.0,9.0,-0.08163265306122448,2.2482349965584345,0.23044395202873294,0.5335598492824372,Stress
37.54,1.6562805638304305,2.743265306122449,42.0,33.0,9.0,0.08163265306122448,2.2482349965584345,-0.059109609833058734,1.1379718626600415,Stress
38.46,1.7866854502007854,3.1922448979591835,44.0,35.0,9.0,-0.04081632653061224,2.0097637557730903,1.0073769537139334,1.4179701605106745,Stress
39.8,2.871393034605969,8.244897959183675,46.0,35.0,11.0,0.08163265306122448,2.1269575348022687,0.7262663155029003,-0.30300383827617816,Stress
42.2,2.920721185751553,8.530612244897958,46.0,35.0,11.0,0.14285714285714285,1.8844151368961313,-0.6307021951100401,-0.579889035936064,Stress
43.8,1.4568627181693672,2.122448979591837,47.0,41.0,6.0,-0.08163265306122448,1.8387743776752499,0.03300031120114277,-0.5464343604431572,Stress
43.08,1.8826815439469224,3.5444897959183677,47.0,38.0,9.0,-0.061224489795918366,1.9421024087135215,-0.5597519356386602,0.7209407609734955,Stress
42.62,1.9154580631892557,3.6689795918367345,46.0,38.0,8.0,0.061224489795918366,2.0938019638662215,-0.7359862550026661,0.29674278323208103,Stress
42.4,2.68023757704196,7.183673469387756,48.0,35.0,13.0,-0.14285714285714285,2.32992949004287,-0.8850555306097591,0.9086075218150995,Stress
41.62,2.6487578914175867,7.01591836734694,48.0,35.0,13.0,0.0,2.1852940772540506,-0.5105975314601919,0.36584517203477374,Stress
42.34,1.996016440977644,3.984081632653061,46.0,37.0,9.0,0.14285714285714285,1.8182745801939795,-0.7808299054885707,0.5132842069121959,Stress
43.0,1.5779087167410373,2.489795918367347,46.0,39.0,7.0,-0.02040816326530612,2.199163068248848,-0.3246671220787038,0.20831451165609804,Stress
43.18,1.7921597960823354,3.211836734693878,48.0,39.0,9.0,0.08163265306122448,2.4313994852539063,0.1836375821210036,0.7440136814851828,Stress
43.58,1.6047124480156332,2.575102040816326,48.0,39.0,9.0,0.04081632653061224,2.079630890262367,0.6671930766601156,2.15663323784126,Stress
43.52,1.3437686875776969,1.805714285714286,48.0,41.0,7.0,-0.02040816326530612,1.6962118167494,0.7441756972344764,1.3499572362925925,Stress
43.68,1.4630133845133837,2.140408163265306,48.0,41.0,7.0,-0.02040816326530612,1.801244421519692,0.3416300296115355,0.016838465929025936,Stress
44.04,1.806563995375684,3.2636734693877547,48.0,39.0,9.0,-0.02040816326530612,2.1805241451743806,-0.32159280849260874,-0.012027449975028137,Stress
41.56,3.3206834801754597,11.026938775510203,47.0,37.0,10.0,-0.16326530612244897,2.367698777513988,0.044983042095167645,-1.4404752575356417,Stress
36.16,2.2620200471873697,5.11673469387755,42.0,33.0,9.0,-0.10204081632653061,2.434823028888855,0.8071465815850534,0.7440653701897793,Stress
35.48,1.764039890335215,3.1118367346938776,38.0,30.0,8.0,-0.14285714285714285,2.2131333406899527,-0.5696689079227228,0.2493842847424963,Stress
35.4,1.8070158058105026,3.2653061224489797,41.0,32.0,9.0,-0.08163265306122448,2.5780607701223763,0.5793391494605376,0.6405593417553219,Stress
35.28,1.7028187915144388,2.8995918367346936,39.0,32.0,7.0,0.02040816326530612,2.551428538780734,0.2908614523841094,-0.7147496978878505,Stress
31.46,1.4457538108656858,2.090204081632653,35.0,28.0,7.0,0.02040816326530612,2.208423538925516,-0.06476486877970164,0.1529026062719714,Stress
31.32,1.4205489022464062,2.0179591836734696,34.0,27.0,7.0,0.0,1.9166296949998198,-0.9089169694858447,0.8608981269833782,Stress
31.9,1.3439205515876271,1.8061224489795922,38.0,30.0,8.0,0.0,1.979486637221574,1.975836464812991,8.05031162073343,Stress
30.7,2.4180444114015365,5.846938775510203,38.0,23.0,15.0,0.0,2.6726124191242437,-0.13803287976600623,2.1200381972856386,Stress
31.0,2.276768207215604,5.183673469387755,35.0,23.0,12.0,0.02040816326530612,2.8463352443446763,-1.2428689053548663,2.268824952543522,Stress
32.0,1.7261494247992246,2.979591836734694,35.0,26.0,9.0,0.0,1.6781914463529615,-1.661588877373761,3.328946291468201,Stress
98.08,1.35285035448591,1.8302040816326526,99.0,90.0,9.0,0.02040816326530612,1.8788815161606376,-4.6840013591933,26.868160792786878,Distraction
98.14,0.8332380897952962,0.6942857142857142,99.0,95.0,4.0,0.02040816326530612,0.999791731748236,-2.036740720178644,6.666218067000257,Distraction
97.98,0.8204030865920703,0.6730612244897959,99.0,95.0,4.0,0.0,0.9689042833036098,-2.041254270235575,6.21120619075475,Distraction
98.12,0.6590035768383312,0.43428571428571433,99.0,96.0,3.0,-0.02040816326530612,0.95809751790249,-0.5754586722088741,1.1943220663641352,Distraction
98.1,0.7354021529276429,0.5408163265306123,99.0,95.0,4.0,0.0,1.0301575072754257,-1.4431841822760998,5.341182975693583,Distraction
97.9,1.2163847404233143,1.4795918367346939,99.0,92.0,7.0,0.02040816326530612,1.449698011034942,-3.274258948121654,12.926469501859554,Distraction
97.9,1.2330483215451478,1.5204081632653061,99.0,92.0,7.0,-0.061224489795918366,1.4902152051860151,-3.136494812776842,12.09377668439323,Distraction
98.08,0.9441549509633317,0.8914285714285712,99.0,95.0,4.0,0.0,1.228903609577518,-1.9829930938162874,5.035257721683648,Distraction
98.12,0.9612916480720414,0.9240816326530614,99.0,95.0,4.0,-0.04081632653061224,1.177322865457629,-1.971636833631772,4.847092026676215,Distraction
98.04,1.2115094312636678,1.4677551020408162,99.0,92.0,7.0,-0.02040816326530612,1.6473825363763726,-2.94852307611898,12.384488163322201,Distraction
97.96,1.3241863115721677,1.753469387755102,99.0,92.0,7.0,0.04081632653061224,1.6531871960064193,-2.3958882470925507,7.8457149372667185,Distraction
98.06,0.9775020225460573,0.9555102040816328,99.0,95.0,4.0,0.0,1.212183053462653,-1.4894034826753242,2.610581988832415,Distraction
98.26,0.6642473107178669,0.4412244897959184,99.0,96.0,3.0,0.02040816326530612,0.999791731748236,-0.7791921922341343,1.449015298266394,Distraction
98.14,0.9478224237370497,0.8983673469387754,99.0,93.0,6.0,-0.02040816326530612,1.3922496245559624,-3.2861857912932697,17.201058829718004,Distraction
98.08,1.0659861774958646,1.1363265306122448,99.0,93.0,6.0,0.0,1.538618516324144,-2.691978685602275,10.651422636478424,Distraction
98.0,1.0101525445522108,1.0204081632653061,99.0,94.0,5.0,-0.02040816326530612,1.3775132269947923,-2.2273863607376247,6.422127659574468,Distraction
97.98,1.0200040015927907,1.040408163265306,99.0,94.0,5.0,-0.02040816326530612,1.3922496245559624,-2.242412298271523,6.139608663230941,Distraction
98.2,0.8806305718527109,0.7755102040816326,99.0,95.0,4.0,0.0,1.2777531299998799,-2.0918025356335272,6.03402929215539,Distraction
98.02,1.0398194505758767,1.0812244897959182,99.0,95.0,4.0,-0.04081632653061224,1.5380770352176956,-1.629526150038881,2.7222160565220186,Distraction
6.608480148593006,18.76863246648439,279.78067449623387,175.34130945254225,0.0,175.34130945254225,-1.018807485116726,20.873407724272734,2.5885958468543087,10.855984045189906,Stress
5.803727435363729,15.099476293485372,144.81674244625245,175.34130945254225,0.0,175.34130945254225,-0.0015378652526944093,17.086956494402283,3.39370032066178,21.39166398055025,Stress
8.339973851449203,19.293573669037897,141.99035308799384,118.74071208731294,0.0,118.74071208731294,0.11825430426274999,12.733224018139483,2.922090028267867,18.146215342389045,Stress
9.776520107376726,23.049992282028917,281.17809771279525,185.91814941137528,0.0,185.91814941137528,-1.0336496659721643,21.09606543775861,2.2553229526881142,9.687278348483519,Stress
8.644518126568478,19.782921997657127,154.35127969259977,185.91814941137528,0.0,185.91814941137528,-0.006493420906555907,17.64033740694902,2.9856029523295007,18.81594637401064,Stress
7.20191048701048,14.735051895370026,3.130307235048328,44.32,0.0,44.32,-0.030608744757535774,0.8723272835130629,0.8411724706596541,1.3579463364268431,Stress
18.534242600710343,19.759608879107777,20.192126509032793,55.0,-6.0,61.0,0.016827538217639854,6.735327127283558,1.2251918979152165,7.757364971839861,Panic
17.74895600641485,18.786502671671744,21.746929005449168,55.0,-6.0,61.0,-0.14365424902709859,6.953280988711062,1.2071490417315174,5.669618905623205,Panic
17.39319090363684,18.399586435365347,17.56344103402314,48.0,-6.0,54.0,0.07059169169393542,6.449588540081057,0.4533697714226078,0.35642478639618375,Panic
18.348683916776512,19.770575186805594,15.33076814114782,48.0,-6.0,54.0,-0.0025508288697097255,5.858325439704031,0.5554989248161101,2.882076545724711,Panic
18.45125471791008,19.773636595324476,12.49591808837746,48.0,-5.0,53.0,0.09620991253644313,4.997276811164414,0.023118178376576735,0.04553147660046296,Panic
18.175317366716488,19.329359434575007,13.28653571521849,48.0,-5.0,53.0,0.06297376093294463,5.406168773941469,0.1770909077174905,-0.15586115559583316,Panic
17.83683248091658,18.964064377842085,15.320027993406269,48.0,-7.0,55.0,0.09401668384112292,5.770158155722336,0.5600220953062778,0.5013574707209999,Panic
17.53482997884053,18.755181760743415,17.817568317834784,48.0,-7.0,55.0,0.13255737741838614,6.188265184369986,0.6795637621028312,1.0936120360012855,Panic
17.792179507710625,19.239911353879233,19.37515601306986,49.0,-5.0,54.0,0.008556293904702078,6.677498274082354,0.5728964532316879,1.9965167712129521,Panic
18.40843299424609,19.614648504163927,18.057659457490086,51.0,-12.0,63.0,0.059545726388740575,6.091194943517464,0.754343820549147,6.561401866442525,Panic
18.687353615580523,19.855493360981658,15.797354950158153,51.0,-12.0,63.0,-0.01481381583114925,5.507826434831179,0.6725696050663775,5.755265163372759,Panic
18.326522828950747,19.40019173612023,15.929363689694673,51.0,-4.0,55.0,-0.06900684178341743,5.9256552678074055,0.750099097513707,2.209472282569215,Panic
18.08783622667173,19.03905149985906,16.370633660287584,48.0,-6.0,54.0,-0.0028882657615334826,6.053183058539004,0.42236195320969644,0.6742228055910099,Panic
18.360562730246226,19.515985489532145,22.757950871600578,55.0,-8.0,63.0,0.10881179727160638,7.086775743977111,1.441453091632759,9.571363298506402,Panic
