delta_power,theta_power,alpha_power,beta_power,eeg_mean,eeg_std,state
0.0,0.0,0.399720651910221,0.2603182423730742,64.28,2.2894540834006696,Stress
0.0,0.0,1.1989754189363475,1.05029238161099,64.08,2.431789464571306,Stress
0.0,0.0,1.7085530824292972,0.945547468421068,64.56,2.994394763554064,Stress
0.0,0.0,0.899851296016681,0.1439832131654167,65.36,3.1859692402783804,Stress
0.0,0.0,0.000879507345919,0.0902767666046018,66.64,2.769548699698202,Stress
0.0,0.0,0.0202110429222239,0.0496117650527155,66.68,2.738174574419973,Stress
0.0,0.0,0.1243864204156845,0.0772162394052213,67.04,2.7925615481131296,Stress
0.0,0.0,0.0150716049675988,0.088019918434887,66.48,2.624804754643667,Stress
0.0,0.0,0.079613309818035,0.417347105642724,66.68,2.556873090319502,Stress
0.0,0.0,0.1304843633754598,0.2651583452875332,66.52,3.442324795832026,Stress
0.0,0.0,0.0976511295826036,1.139800372949403,66.56,3.8892672831781567,Stress
0.0,0.0,0.0590850374423583,0.3867153930755254,66.64,3.0447331574376104,Stress
0.0,0.0,0.0496661689607764,0.1878127394392229,66.56,2.6993332510084787,Stress
0.0,0.0,0.3522276199891072,1.012772573849048,65.96,3.0130383336426374,Stress
0.0,0.0,0.4711071830763742,0.7079113648088544,66.0,2.85657137141714,Stress
0.0,0.0,0.0870524329576674,0.1660056763845604,66.8,2.65329983228432,Stress
0.0,0.0,0.0253730978428699,0.2199681017464893,67.36,3.835413928117799,Stress
0.0,0.0,0.3197731360395507,1.846661294851964,67.12,3.8504025763548415,Stress
0.0,0.0,0.6952416877666562,0.5085800847685676,66.32,3.70642685075532,Stress
0.0,0.0,0.2215143776323652,0.262504126260262,64.92,2.225668438918969,Stress
0.0,0.0,0.3589566934340266,0.1820445951702171,64.8,2.349468024894146,Stress
0.0,0.0,0.0575762785090552,0.5577339012683179,65.2,2.349468024894146,Stress
0.0,0.0,0.5154911615205784,0.3040245054558902,65.88,2.6278508329050947,Stress
