mean,variance,std_dev,min,max,range,difference,diff,state
0.7297297297297296,0.103515625,0.3217384419058438,0.7599999999999999,0.5151515151515151,0.2941176470588235,0.3870967741935484,0.3235294117647059,Fatigue
0.1621621621621622,0.0039062499999999,0.0625,0.3199999999999999,0.0606060606060605,0.0588235294117647,0.5483870967741935,0.5882352941176471,Fatigue
0.2162162162162162,0.009765625,0.0988211768802618,0.36,0.1212121212121211,0.1176470588235294,0.5483870967741935,0.5882352941176471,Fatigue
0.4504504504504507,0.013671875,0.1169267933366857,0.5599999999999999,0.2727272727272727,0.1176470588235294,0.5806451612903225,0.4705882352941176,Fatigue
0.4594594594594594,0.279296875,0.5284854539152428,0.44,0.3636363636363635,0.4705882352941176,0.2903225806451612,0.1764705882352941,Fatigue
0.3243243243243243,0.083984375,0.2898005779842408,0.4,0.2424242424242424,0.2941176470588235,0.6129032258064515,0.5,Fatigue
0.4504504504504507,0.052734375,0.2296396633859229,0.5599999999999999,0.3333333333333332,0.2352941176470588,0.6774193548387096,0.6470588235294118,Fatigue
0.7207207207207209,0.013671875,0.1169267933366857,0.7999999999999999,0.4545454545454546,0.1176470588235294,0.5161290322580645,0.4705882352941176,Fatigue
0.3243243243243243,0.0546875,0.2338535866733714,0.4,0.2121212121212121,0.2352941176470588,0.4838709677419354,0.6470588235294118,Fatigue
0.8378378378378379,0.033203125,0.1822172467139156,0.88,0.5454545454545454,0.1764705882352941,0.5161290322580645,0.4411764705882353,Fatigue
0.0990990990990989,0.03515625,0.1875,0.2399999999999998,0.0606060606060605,0.1764705882352941,0.5806451612903225,0.4411764705882353,Fatigue
0.3603603603603604,0.033203125,0.1822172467139156,0.4800000000000001,0.2424242424242424,0.1764705882352941,0.6129032258064515,0.5882352941176471,Fatigue
0.6576576576576576,0.013671875,0.1169267933366857,0.7599999999999999,0.4242424242424243,0.1176470588235294,0.5483870967741935,0.4117647058823529,Fatigue
0.7567567567567568,0.1171875,0.3423265984407289,0.7599999999999999,0.5454545454545454,0.3529411764705882,0.4838709677419354,0.4117647058823529,Fatigue
0.9009009009009012,0.00390625,0.0625,1.0,0.5757575757575757,0.0588235294117647,0.5806451612903225,0.5294117647058824,Fatigue
0.783783783783784,0.015625,0.125,0.84,0.4848484848484848,0.1176470588235294,0.5483870967741935,0.5,Fatigue
0.8198198198198197,0.015625,0.125,0.88,0.5151515151515151,0.1176470588235294,0.5483870967741935,0.5294117647058824,Fatigue
0.7747747747747746,0.025390625,0.1593443597997745,0.84,0.5151515151515151,0.1764705882352941,0.5161290322580645,0.4411764705882353,Fatigue
0.7117117117117118,0.01953125,0.1397542485937369,0.7999999999999999,0.4545454545454546,0.1176470588235294,0.4838709677419354,0.4411764705882353,Fatigue
0.8468468468468469,0.029296875,0.1711632992203644,0.88,0.5454545454545454,0.1764705882352941,0.4516129032258064,0.4705882352941176,Fatigue
0.6486486486486487,0.07421875,0.2724311839712922,0.7200000000000001,0.4848484848484848,0.2941176470588235,0.6774193548387096,0.6176470588235294,Fatigue
