mean,variance,std_dev,min,max,range,difference,state
31.0,1.0,1.0,30.0,32.0,2.0,2.0,Panic
47.0,1.0,1.0,46.0,48.0,2.0,-2.0,Panic
38.6,10.8,3.286335345030997,35.0,42.0,7.0,-7.0,Panic
35.4,2.8000000000000003,1.6733200530681511,33.0,37.0,4.0,-2.0,Panic
31.6,1.3,1.140175425099138,30.0,33.0,3.0,-1.0,Panic
42.4,2.3000000000000003,1.5165750888103102,41.0,45.0,4.0,-4.0,Panic
35.6,1.8000000000000005,1.3416407864998738,34.0,37.0,3.0,2.0,Panic
42.2,9.7,3.114482300479488,37.0,45.0,8.0,8.0,Panic
35.8,1.7,1.3038404810405295,34.0,37.0,3.0,-3.0,Panic
31.4,0.7999999999999999,0.8944271909999159,30.0,32.0,2.0,2.0,Panic
44.0,2.5,1.5811388300841898,42.0,46.0,4.0,1.0,Panic
44.2,0.7,0.8366600265340756,43.0,45.0,2.0,0.0,Panic
44.4,4.8,2.1908902300206643,43.0,48.0,5.0,2.0,Panic
41.4,7.300000000000001,2.701851217221259,37.0,44.0,7.0,2.0,Panic
45.2,0.2,0.4472135954999579,45.0,46.0,1.0,-1.0,Panic
43.4,3.8,1.949358868961793,42.0,46.0,4.0,0.0,Panic
43.6,2.8,1.6733200530681511,41.0,45.0,4.0,-2.0,Panic
36.8,1.2,1.095445115010332,35.0,38.0,3.0,-1.0,Panic
38.6,0.3,0.5477225575051661,38.0,39.0,1.0,0.0,Panic
42.6,0.7999999999999999,0.8944271909999159,42.0,44.0,2.0,-2.0,Panic
31.0,0.5,0.7071067811865476,30.0,32.0,2.0,0.0,Panic
31.8,1.7,1.3038404810405295,30.0,33.0,3.0,-3.0,Panic
46.0,0.5,0.7071067811865476,45.0,47.0,2.0,1.0,Panic
43.8,2.7,1.6431676725154984,42.0,45.0,3.0,-3.0,Panic
32.2,0.7,0.8366600265340756,31.0,33.0,2.0,1.0,Panic
45.4,1.2999999999999998,1.1401754250991378,44.0,47.0,3.0,-1.0,Panic
42.2,1.2,1.095445115010332,41.0,43.0,2.0,0.0,Panic
44.2,3.2,1.7888543819998317,43.0,47.0,4.0,-2.0,Panic
32.2,0.2,0.4472135954999579,32.0,33.0,1.0,0.0,Panic
35.4,4.3,2.073644135332772,32.0,37.0,5.0,5.0,Panic
38.4,0.3,0.5477225575051661,38.0,39.0,1.0,1.0,Panic
46.0,3.5,1.8708286933869709,44.0,48.0,4.0,0.0,Panic
30.0,2.5,1.5811388300841898,28.0,32.0,4.0,-4.0,Panic
46.4,0.3,0.5477225575051661,46.0,47.0,1.0,1.0,Panic
29.2,14.7,3.8340579025361623,23.0,32.0,9.0,-5.0,Panic
30.6,1.3,1.140175425099138,29.0,32.0,3.0,0.0,Panic
30.8,4.2,2.04939015319192,29.0,33.0,4.0,0.0,Panic
45.8,1.7,1.3038404810405295,45.0,48.0,3.0,1.0,Panic
31.2,3.7,1.9235384061671343,28.0,33.0,5.0,-5.0,Panic
44.0,1.5,1.224744871391589,43.0,46.0,3.0,1.0,Panic
44.4,1.2999999999999998,1.1401754250991378,43.0,46.0,3.0,2.0,Panic
32.4,0.3,0.5477225575051661,32.0,33.0,1.0,1.0,Panic
